date,month,vendor,pickup_time,dropoff_time,duration,passengers,distance,start_long,start_lat,end_long,end_lat,payment_type,fare,surcharge,tip,tolls,total
2009-01-01,2009-01,CMT,2009-01-01D00:04:55.000000000,2009-01-01D00:13:33.000000000,0D00:08:38.000000000,1,1.9,-73.9774,40.77258,-73.9556,40.77688,CASH,8.2,0,0,0,8.2
2009-01-01,2009-01,CMT,2009-01-01D00:04:56.000000000,2009-01-01D00:14:33.000000000,0D00:09:37.000000000,2,1.7,-73.97877,40.75976,-73.95948,40.76359,CASH,7.8,0,0,0,7.8
2009-01-01,2009-01,CMT,2009-01-01D00:04:56.000000000,2009-01-01D00:08:50.000000000,0D00:03:54.000000000,1,1.2,-73.97689,40.747,-73.96668,40.76111,CREDIT,5.4,0,0,0,5.4
2009-01-01,2009-01,DDS,2009-01-01D00:04:57.000000000,2009-01-01D00:26:12.000000000,0D00:21:15.000000000,1,4.8,-73.96823,40.70769,-73.98343,40.74851,CASH,14.9,0.5,0,0,15.4
2009-01-01,2009-01,CMT,2009-01-01D00:04:57.000000000,2009-01-01D00:19:27.000000000,0D00:14:30.000000000,2,3.4,-73.96514,40.75522,-74.00003,40.73048,CREDIT,11.8,0,2.95,0,14.75
2009-01-01,2009-01,CMT,2009-01-01D00:04:58.000000000,2009-01-01D00:09:49.000000000,0D00:04:51.000000000,1,0.6,-73.99957,40.74378,-74.00255,40.75004,CASH,5,0,0,0,5
2009-01-01,2009-01,CMT,2009-01-01D00:04:58.000000000,2009-01-01D00:21:35.000000000,0D00:16:37.000000000,2,3.4,-73.97863,40.76655,-73.99086,40.72843,CREDIT,12.2,0,2.44,0,14.64
2009-01-01,2009-01,CMT,2009-01-01D00:04:59.000000000,2009-01-01D00:09:07.000000000,0D00:04:08.000000000,1,0.6,-73.99595,40.75323,-74.0047,40.75187,CASH,5,0,0,0,5
2009-01-01,2009-01,CMT,2009-01-01D00:04:59.000000000,2009-01-01D00:14:32.000000000,0D00:09:33.000000000,2,3.4,-73.98079,40.7538,-73.98376,40.72157,CASH,10.6,0,0,0,10.6
2009-01-01,2009-01,CMT,2009-01-01D00:04:59.000000000,2009-01-01D00:12:26.000000000,0D00:07:27.000000000,1,1.7,-74.00376,40.73256,-73.99107,40.71476,CASH,7,0,0,0,7
2009-01-01,2009-01,CMT,2009-01-01D00:04:59.000000000,2009-01-01D00:08:46.000000000,0D00:03:47.000000000,3,0.3,-74.00508,40.7198,-74.00225,40.72429,CASH,4.2,0,0,0,4.2
2009-01-01,2009-01,DDS,2009-01-01D00:04:59.000000000,2009-01-01D00:23:21.000000000,0D00:18:22.000000000,2,3,-73.94885,40.778,-73.97768,40.74869,CREDIT,10.1,0.5,1,0,11.6
2009-01-01,2009-01,CMT,2009-01-01D00:05:00.000000000,2009-01-01D00:20:18.000000000,0D00:15:18.000000000,1,2.1,-74.00698,40.73092,-73.98463,40.74322,CASH,10.2,0,0,0,10.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:01.000000000,2009-01-01D00:10:52.000000000,0D00:05:51.000000000,1,2.3,-73.95242,40.74158,-73.98242,40.7369,CASH,45,0,0,4.15,49.15
2009-01-01,2009-01,CMT,2009-01-01D00:05:01.000000000,2009-01-01D00:07:08.000000000,0D00:02:07.000000000,1,0.4,-73.98199,40.76873,-73.98366,40.77449,CREDIT,4.2,0,1,0,5.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:01.000000000,2009-01-01D00:22:03.000000000,0D00:17:02.000000000,1,1.7,-73.99576,40.75976,-73.97764,40.75166,CASH,10.2,0,0,0,10.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:01.000000000,2009-01-01D00:16:46.000000000,0D00:11:45.000000000,2,1.9,-73.97674,40.7654,-73.98142,40.74414,CASH,9,0,0,0,9
2009-01-01,2009-01,CMT,2009-01-01D00:05:02.000000000,2009-01-01D00:09:45.000000000,0D00:04:43.000000000,2,1.5,-73.96082,40.76135,-73.97208,40.74648,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:02.000000000,2009-01-01D00:33:25.000000000,0D00:28:23.000000000,2,10.3,-73.99198,40.75914,-73.84275,40.72507,CASH,27.8,0,0,4.15,31.95
2009-01-01,2009-01,CMT,2009-01-01D00:05:02.000000000,2009-01-01D00:21:07.000000000,0D00:16:05.000000000,4,4.5,-73.98153,40.76757,-74.00775,40.72579,CASH,14.6,0,0,0,14.6
2009-01-01,2009-01,CMT,2009-01-01D00:05:02.000000000,2009-01-01D00:11:09.000000000,0D00:06:07.000000000,1,1.3,-73.97309,40.76396,-73.96902,40.75603,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:03.000000000,2009-01-01D00:10:56.000000000,0D00:05:53.000000000,1,2,-73.97118,40.74967,-73.96269,40.77056,CASH,7,0,0,0,7
2009-01-01,2009-01,CMT,2009-01-01D00:05:03.000000000,2009-01-01D00:18:59.000000000,0D00:13:56.000000000,4,2.9,-73.98063,40.77981,-73.99373,40.75216,CASH,11,0,0,0,11
2009-01-01,2009-01,DDS,2009-01-01D00:05:03.000000000,2009-01-01D00:55:38.000000000,0D00:50:35.000000000,2,18.2,-73.78722,40.64115,-73.95055,40.80087,CREDIT,45,0,11.25,4.15,60.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:03.000000000,2009-01-01D00:11:31.000000000,0D00:06:28.000000000,1,1.3,-73.9722,40.75008,-73.99134,40.75047,CASH,6.6,0,0,0,6.6
2009-01-01,2009-01,CMT,2009-01-01D00:05:03.000000000,2009-01-01D00:13:26.000000000,0D00:08:23.000000000,1,1.8,-73.97789,40.74215,-73.99915,40.73004,CASH,7.8,0,0,0,7.8
2009-01-01,2009-01,CMT,2009-01-01D00:05:04.000000000,2009-01-01D00:35:40.000000000,0D00:30:36.000000000,2,2.2,-73.99435,40.75253,-73.98117,40.73796,CASH,16.2,0,0,0,16.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:04.000000000,2009-01-01D00:16:24.000000000,0D00:11:20.000000000,2,5.7,-73.9538,40.77536,-73.99477,40.72503,CASH,15.4,0,0,0,15.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:05.000000000,2009-01-01D00:25:19.000000000,0D00:20:14.000000000,3,4.3,-73.99795,40.74029,-73.9543,40.78073,CASH,15,0,0,0,15
2009-01-01,2009-01,CMT,2009-01-01D00:05:06.000000000,2009-01-01D00:11:21.000000000,0D00:06:15.000000000,1,1.3,-74.00502,40.72029,-74.00624,40.7335,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:06.000000000,2009-01-01D00:12:15.000000000,0D00:07:09.000000000,2,1.4,-73.98375,40.72565,-73.99992,40.73777,CASH,7,0,0,0,7
2009-01-01,2009-01,DDS,2009-01-01D00:05:06.000000000,2009-01-01D00:18:17.000000000,0D00:13:11.000000000,1,3.8,-73.98211,40.72796,-73.96219,40.77321,CASH,11.3,0.5,0,0,11.8
2009-01-01,2009-01,CMT,2009-01-01D00:05:06.000000000,2009-01-01D00:14:48.000000000,0D00:09:42.000000000,1,3.3,-73.984,40.7545,-74.01025,40.71905,CASH,9.8,0,0,0,9.8
2009-01-01,2009-01,DDS,2009-01-01D00:05:07.000000000,2009-01-01D00:11:12.000000000,0D00:06:05.000000000,2,1,-73.97341,40.76408,-73.96181,40.76866,CASH,5.7,0.5,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:07.000000000,2009-01-01D00:06:10.000000000,0D00:01:03.000000000,2,0.2,-73.96344,40.77435,-73.96052,40.77316,CASH,3.4,0,0,0,3.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:08.000000000,2009-01-01D00:10:02.000000000,0D00:04:54.000000000,4,1.2,-73.94297,40.69328,-73.9633,40.69379,CASH,6.2,0,0,0,6.2
2009-01-01,2009-01,CMT,2009-01-01D00:05:08.000000000,2009-01-01D00:20:30.000000000,0D00:15:22.000000000,2,3.1,-74.00138,40.73098,-73.96892,40.75447,CASH,11.4,0,0,0,11.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:09.000000000,2009-01-01D00:05:36.000000000,0D00:00:27.000000000,1,0.1,-73.98837,40.77466,-73.98941,40.77327,CASH,3,0,0,0,3
2009-01-01,2009-01,CMT,2009-01-01D00:05:09.000000000,2009-01-01D00:16:03.000000000,0D00:10:54.000000000,1,2.1,-73.98808,40.76508,-73.99638,40.74021,CASH,9,0,0,0,9
2009-01-01,2009-01,DDS,2009-01-01D00:05:09.000000000,2009-01-01D00:10:46.000000000,0D00:05:37.000000000,1,0.4,-73.98592,40.72801,-73.98701,40.73337,CASH,4.5,0.5,0,0,5
2009-01-01,2009-01,CMT,2009-01-01D00:05:09.000000000,2009-01-01D00:15:02.000000000,0D00:09:53.000000000,2,2.6,-73.96928,40.78543,-73.97425,40.75631,CASH,9.4,0,0,0,9.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:09.000000000,2009-01-01D00:18:33.000000000,0D00:13:24.000000000,1,4,-73.99622,40.72371,-73.93614,40.69711,CASH,12.6,0,0,0,12.6
2009-01-01,2009-01,CMT,2009-01-01D00:05:10.000000000,2009-01-01D00:19:56.000000000,0D00:14:46.000000000,1,5.5,-73.9602,40.77316,-73.88973,40.75729,CASH,15.4,0,0,0,15.4
2009-01-01,2009-01,CMT,2009-01-01D00:05:10.000000000,2009-01-01D00:07:02.000000000,0D00:01:52.000000000,1,0.9,-73.96826,40.7595,-73.95915,40.77181,CASH,4.6,0,0,0,4.6
2009-01-01,2009-01,CMT,2009-01-01D00:05:11.000000000,2009-01-01D00:07:39.000000000,0D00:02:28.000000000,1,0.7,0,0,0,0,CREDIT,4.2,0,0.84,0,5.04
